Sunny Days (days),Cold Beverage Sales ($)
6,52.76552378082122
19,163.0444362072507
28,243.60773961535693
14,194.2679832040288
10,81.8726139997401
7,94.42970837010816
28,305.2247696749475
20,164.5653218298491
6,61.28972040738892
25,188.06916289445448
18,210.34824733791555
22,150.47916573626276
10,55.42538903687624
10,137.67042613563848
23,176.75426562083177
20,121.8202394951
3,37.03983834051105
7,47.8782956331831
23,337.45276412564033
2,23.137414088063895
21,242.4714982996964
20,199.48568383042414
1,21.16039874997891
23,202.1072303445419
11,80.01985667069145
29,432.47283739269955
5,81.01511798325141
1,16.09822394140132
27,211.2236964553074
20,115.56762544780754
0,13.216769655270351
11,131.90258991629975
25,222.68766368551394
21,292.2146158898691
28,222.88265820142382
11,170.26035557500236
24,238.09727025201576
16,222.3722847682698
26,188.52655329553278
26,244.80632513939847
30,367.48653226665573
9,72.21119340774489
27,175.5680795612714
27,403.12758360930377
15,184.27223202179525
14,92.82686636005684
29,266.6755466257025
29,284.0248900570259
14,186.54256432093771
29,234.34374603598562
18,132.12997788777113
11,69.15832739146218
22,206.45043460746558
19,221.8918029215091
24,144.77322905142097
2,42.18163741497418
4,50.05252971523338
18,135.51290313246855
6,50.826528130437154
20,143.08211927988472
8,120.234602316468
6,74.69307445408509
17,183.2304083750467
3,37.28983199741964
24,234.37631611409827
27,344.2578566986094
13,86.73971608113243
17,192.1061090700992
25,167.9634694196538
8,60.35762296271249
25,215.1686253093698
20,122.77008738085362
1,9.128051864985705
19,154.61226038487578
27,406.6320268881303
14,110.19068149974194
27,160.91591757171028
6,82.93393958853419
11,159.19095510943401
28,244.99229831384923
7,69.27348830852999
14,174.47302687721728
2,22.135248917918506
13,207.47904314668574
16,224.19546955777383
3,46.8069722419278
17,105.5603584653062
7,110.25092369775454
3,38.53800755846519
1,16.814725139657536
29,353.8981563213999
5,64.8728774424508
21,315.78621402566205
9,138.51081043617353
3,58.09078646413343
21,249.2699856194946
28,372.98171737144327
30,368.2719356237915
17,184.35977893323988
25,168.83003006986323
11,154.3603161230075
1,16.15214210541064
9,102.79205391129902
29,397.9755097083756
3,49.358496607487105
13,102.7317589321487
30,250.77162707861376
15,119.39320886556246
14,139.0652982489727
7,49.829042197638955
13,153.9939571359161
22,188.7542710183531
27,319.0279302782866
24,221.2095776754995
29,359.4837295126426
7,72.69331765514512
20,163.79050098839372
15,163.7556676818313
12,155.78376162149513
17,155.52691081257768
14,203.63744425226426
20,123.53305319943765
23,218.8350280569507
25,382.3378392681746
24,267.4393034370954
27,255.98695845541525
27,303.24905701546845
27,298.69469792340334
12,156.0225689977232
8,61.50254452671054
28,221.42696872635702
14,161.46891930490182
12,167.38255278738686
0,9.392766802578302
24,198.65563999062368
6,66.87066565000464
8,113.54140303693202
23,185.07993971969682
0,3.2082614035692405
11,121.42882752131423
7,74.75569755809872
23,223.8819867169762
30,254.80567868668214
10,75.75561558851
18,110.23058954450039
16,249.92709925005994
7,104.2588372513809
2,33.8938919453072
2,38.392535581968026
0,6.603790416432804
26,274.51019823874674
4,49.61678250754652
9,58.00159746636105
6,40.954079348059004
25,281.07733811018454
8,98.5184559428109
27,201.94221727131574
6,108.26146745288682
8,118.43457494931681
7,54.22821279169122
11,174.4216893315936
1,22.264945402996684
0,0.7260709792034714
15,88.4327579137288
22,282.88386164086995
22,238.98876207544188
29,363.8132072661087
23,347.1668782073337
4,61.26137403681019
2,44.244135637568924
11,159.7170783311387
7,106.46937990703455
21,195.70527555698143
26,197.25039867476514
2,21.77324141035493
0,10.726133885646735
2,24.112095217227164
4,51.69642853726469
14,110.25131719045243
13,162.06204854815587
2,30.922662881564737
0,3.354270864192419
4,47.742299625966076
